Prediction Type,Descriptor,RMSE,R²,MAE,Correlation
individual_predictions,INTENSITY/STRENGTH,37.52643575496614,-0.08248684485205948,33.03982259054257,0.05986337589254956
individual_predictions,VALENCE/PLEASANTNESS,30.04381969824342,-0.08244386454457509,25.14069674734981,0.2198248553361713
individual_predictions,BAKERY,14.990539211336982,0.06552066302309811,5.485098635917003,0.2719390317623651
individual_predictions,SWEET,27.551178048450822,0.09010975894362372,18.574762970884674,0.39415576697514976
individual_predictions,FRUIT,20.969514113967843,0.0892599052212053,10.017556401883477,0.4115962540853322
individual_predictions,FISH,7.105310060405119,0.17318273123891392,1.915481549807131,0.4213974300679767
individual_predictions,GARLIC,10.578064612951012,0.2640701753703474,3.3397151656608925,0.5151063903179082
individual_predictions,SPICES,16.826556327084635,0.12330638789741277,8.267246447811498,0.3659203503374181
individual_predictions,COLD,14.130518744206537,0.26222862002595837,5.695454462413579,0.5259914686178253
individual_predictions,SOUR,18.277042297363092,0.0855765848265998,9.8330409144604,0.30200959627731266
individual_predictions,BURNT,15.301051465906733,0.17118073785409726,6.485042704208044,0.430257996093186
individual_predictions,ACID,17.079116952227633,0.08903846992286402,8.918407024382235,0.315585514511285
individual_predictions,WARM,15.088237066880106,0.22993609557439842,7.085981987454642,0.5000500546392789
individual_predictions,MUSKY,17.922901333339116,0.13720224346346654,9.378446394303525,0.37700454858939475
individual_predictions,SWEATY,13.137499343360473,0.08404844404647549,5.168066128636682,0.29325447251743214
individual_predictions,AMMONIA/URINOUS,16.31045035276798,0.11434086005233646,6.937645187673334,0.3515336369768772
individual_predictions,DECAYED,14.82228875104428,0.08956796422526092,5.823106029973308,0.3095522001713704
individual_predictions,WOOD,13.579069972435274,0.0639816242025446,5.123940576007168,0.2685120334282782
individual_predictions,GRASS,14.846059571539504,0.10157106716688102,5.480228155745371,0.3334968373808587
individual_predictions,FLOWER,20.27964984573404,0.05488410724994208,10.045728667346193,0.26435299185015915
individual_predictions,CHEMICAL,28.361476373141564,0.09954038979480995,20.715639404221207,0.3426110920226419
population_mean_predictions,INTENSITY/STRENGTH,31.26097968461563,-1.0113917784205748,27.310984590357883,-0.18116278153609955
population_mean_predictions,VALENCE/PLEASANTNESS,11.281853835365258,0.259081532292631,8.98679185553579,0.5163684060787531
population_mean_predictions,BAKERY,5.891682694136683,0.19716118630480783,3.1784276359040073,0.5357295647530231
population_mean_predictions,SWEET,12.60292541208839,0.12268323451322094,8.96679868414315,0.44988906113922894
population_mean_predictions,FRUIT,8.321596022174774,0.1257202206149386,5.1299560497156556,0.5781287812000511
population_mean_predictions,FISH,1.830712411431278,0.3606906958616538,1.1346617290424574,0.6790156015270723
population_mean_predictions,GARLIC,3.7175238839425724,0.4003211083548093,1.77421075315339,0.7793073768370419
population_mean_predictions,SPICES,3.980310484474563,0.057129058538671895,2.898668827673285,0.31772492259071544
population_mean_predictions,COLD,2.2901674423312666,0.2301800531324546,1.9027404190142199,0.49440464930839273
population_mean_predictions,SOUR,4.001037603755722,0.1509526600574771,3.19773036215548,0.39690888718000567
population_mean_predictions,BURNT,4.098452075446871,0.19086627222812869,2.849019026047002,0.45839526016962273
population_mean_predictions,ACID,4.3695795384489085,-0.00040094793086309366,3.037118674907791,0.44771255535971216
population_mean_predictions,WARM,3.0264177421833485,0.07600611343135477,2.09288752254725,0.3092603586111583
population_mean_predictions,MUSKY,4.167536066373015,0.0904120003142842,3.4189715577684563,0.3674429760441606
population_mean_predictions,SWEATY,2.731355291734747,0.19744362461235987,2.1209654690051916,0.4680979956311947
population_mean_predictions,AMMONIA/URINOUS,3.5793737064540467,-0.005657520787069048,2.7552046510560153,0.3103743183696026
population_mean_predictions,DECAYED,3.3260554010544987,0.3333061856270402,2.3545340631564895,0.6184266699645149
population_mean_predictions,WOOD,2.560876851736407,0.09254990573480926,2.120562781137708,0.30958702846819974
population_mean_predictions,GRASS,4.139295447119285,0.05987875937314957,2.7231685047447938,0.27292603461955645
population_mean_predictions,FLOWER,5.61641077073731,0.2043237147503203,4.2378673049068825,0.560585687677702
population_mean_predictions,CHEMICAL,12.101408175939929,-0.05118869432322892,8.649130352266667,0.3437974878202254
population_std_predictions,INTENSITY/STRENGTH,6.6238352161199225,-0.21964962672269128,5.607033154545555,-0.03524129227864367
population_std_predictions,VALENCE/PLEASANTNESS,3.948834503646608,-0.5088398135988432,3.0421962952868467,0.09525118956376115
population_std_predictions,BAKERY,8.17121215918684,0.12006659190912783,5.81647643134462,0.3755798954401152
population_std_predictions,SWEET,8.703935424048257,0.13414017030637193,7.403303049726247,0.5787228959531684
population_std_predictions,FRUIT,10.115731334007833,0.116482083049534,8.244092315006984,0.6549865177625999
population_std_predictions,FISH,4.995297267326571,0.2804572424785683,4.03930492594932,0.5679493648640996
population_std_predictions,GARLIC,5.88338029808102,0.29383421437609036,4.529081095112753,0.631482552742038
population_std_predictions,SPICES,6.23780524348466,0.06723915687675297,4.925798677670635,0.3975544791038399
population_std_predictions,COLD,6.233731492293929,-0.025167512011726956,5.3232241942418055,0.2689228159868049
population_std_predictions,SOUR,5.357483156423979,0.19996337164122224,4.3051632451446435,0.4483850704985463
population_std_predictions,BURNT,6.916269359713663,0.24064626190020877,5.655182143943158,0.5795433119252456
population_std_predictions,ACID,6.9037392268034345,-0.10444767063883864,5.452200778319525,0.44845666665157485
population_std_predictions,WARM,5.019757860442496,-0.01809592475455979,3.9209141434911747,0.29499366542163336
population_std_predictions,MUSKY,7.132718733991894,0.07579845023768372,5.807750030299473,0.28278519911461586
